Edelar/Ajustes	Capital	Chilecito	Aimogasta	Sur	Villa Unión	Total
09/2006		 -   	 -   	 -   	 -   	 -   
10/2006		 -   	 -   	 -   	 -   	 -   
11/2006		 -   	 -   	 -   	 -   	 -   
12/2006		 -   	 -   	 -   	 -   	 -   
01/2007		 -   	 -   	 -   	 -   	 -   
02/2007		 -   	 -   	 -   	 -   	 -   
03/2007		 -   	 -   	 -   	 -   	 -   
04/2007		 -   	 -   	 -   	 -   	 -   
05/2007		 -   	 -   	 -   	 -   	 -   
06/2007		 -   	 -   	 -   	 -   	 -   
07/2007		 -   	 -   	 -   	 -   	 -   
08/2007		 -   	 -   	 -   	 -   	 -   
09/2007		 -   	 -   	 -   	 -   	 -   
10/2007		 -   	 -   	 -   	 -   	 -   
11/2007		 -   	 -   	 -   	 -   	 -   
12/2007		 -   	 -   	 -   	 -   	 -   
01/2008		 -   	 -   	 -   	 -   	 -   
02/2008		 -   	 -   	 -   	 -   	 -   
03/2008	 0.007 	 -   	 -   	 -   	 -   	 0.007 
04/2008		 -   	 -   	 -   	 -   	 -   
05/2008	 0.190 	 -   	 -   	 -   	 -   	 0.190 
06/2008	 0.222 	 -   	 -   	 -   	 -   	 0.222 
07/2008						 -   
08/2008						 -   
09/2008						 -   
10/2008						 -   
11/2008						 -   
12/2008						 -   
01/2009						 -   
02/2009						 -   
03/2009						 -   
04/2009						 -   
05/2009						 -   
06/2009						 -   
07/2009						 -   
08/2009	-0.66					 -0.660 
09/2009	-0.66					 -0.660 
10/2009	-0.66					 -0.660 
11/2009	-0.66					 -0.660 
12/2009	-0.66					 -0.660 
01/2010	-0.66					 -0.660 
02/2010	-0.66					 -0.660 
03/2010	-0.66					 -0.660 
04/2010	-0.66					 -0.660 
05/2010	-0.66					 -0.660 
06/2010	-0.66					 -0.660 
07/2010	-0.66					 -0.660 
08/2010	-0.66					 -0.660 
09/2010						 -   
10/2010						 -   
11/2010						 -   
